Category,Property,Description,Agentic / Semantic Layer Importance,Human Importance,Agentic Importance,Snowflake SV Equivalent,Snowflake Notes / Pros & Cons,Databricks UC Equivalent,Databricks Notes / Pros & Cons,dbt MetricFlow Equivalent,Cube.dev Equivalent,Other Platform Notes
AtScale SML-Only,"SML: metric.semi_additive config","Declares that a metric cannot be aggregated across a specific dimension (e.g. account_balance cannot be summed across snapshot_date); specifies position (first / last / first_child / last_child) and the relevant dimensional relationships.","Prevents the most common class of silent metric error in financial and operational data — summing snapshot balances across time periods; first-class semi-additive declaration ensures correct aggregation at every query.","Low — internal aggregation rule; users see correct snapshot values without being aware of the constraint","High — semi-additive correctness is critical for finance, HR, and inventory metrics; without it agents sum snapshot values producing inflated results on every time-series query","NON ADDITIVE BY clause (DDL) / non_additive_dimensions[] (YAML)","Pro: Cortex Analyst natively generates correct LAST_VALUE / FIRST_VALUE SQL. Con: Sort direction and null order must be specified explicitly.","window[].semiadditive: first | last (Experimental v1.1)","Pro: Declarative first/last control. Con: Experimental status; limited to current range semantics.","measure.non_additive_dimension.window_choice: min | max","Not supported natively","Power BI: LASTDATE / LASTNONBLANK DAX patterns; AtScale SML: most explicit semi-additive configuration with position + relationship linking"
AtScale SML-Only,"SML: metric.calculation_method (full range)","Aggregation function for a metric — extends beyond standard SUM/AVG/COUNT to include: estimated count distinct (HyperLogLog), sum distinct (fanout-safe), percentile (with compression / named_quantiles / custom_quantiles), stddev_pop, stddev_samp, var_pop, var_samp, count non-null.","Statistical aggregation types beyond SUM/COUNT give analysts and agents access to distribution metrics (percentile, stddev) and fanout-safe aggregations from a governed semantic definition.","High — percentile and standard deviation metrics are increasingly requested for operational analytics; governed definitions prevent inconsistent calculations","High — stddev and percentile are high-value statistical metrics; a declarative calculation_method ensures agents compute them identically to the business definition regardless of which query tool is used","metrics[].expr (SQL aggregation function)","Pro: Full SQL flexibility — any aggregation expressible in SQL. Con: Percentile and stddev must be written as raw SQL expressions; no named method with parameters.","measures[].expr (SQL aggregate function)","Pro: Same SQL flexibility. Con: Same limitation — no named method; percentile requires PERCENTILE_CONT() SQL.","measure.agg: percentile with agg_params.percentile value — explicit percentile support","Not natively supported — requires cube.measures[].type: number with SQL expression","LookML: measure type: percentile + percentile property; Power BI: DAX PERCENTILE.EXC / STDEV functions"
AtScale SML-Only,"SML: metric_calc object (MDX calculated metric)","Standalone calculated metric defined as an MDX expression operating on existing metrics — equivalent to a calculated member; supports mdx_aggregation_function for cross-model aggregation behavior; produces numerics from MDX calculations.","MDX calculated metrics enable ratio, derived, and compound metrics using the full MDX function library (YTD, ParallelPeriod, NonEmptyCrossJoin, etc.) that SQL-only platforms cannot express; connects MDX-based BI tools (Excel, SSAS, Power BI pivot tables) to the semantic model.","High — MDX calculations extend the metric library beyond what SQL aggregations support; essential for Excel PivotTable users and OLAP-native BI tools","Medium — agents typically query via SQL or REST; MDX path is less common but available through AtScale's MDX interface for agent frameworks that speak XMLA","Not applicable — Snowflake SV uses SQL expressions in metrics[]","Con: No MDX support in Snowflake SV; all calculations must be SQL.","Not applicable — UC MV uses SQL expressions in measures[]","Con: No MDX support in UC MV; all calculations must be SQL.","metric type: derived — SQL-based derived metrics (no MDX)","cube.measures[].type: number — SQL-based derived measure (no MDX)","Power BI: DAX calculated measures (closest — MDX-level expressiveness in a modern language)"
AtScale SML-Only,"SML: model.perspectives (hide-based audience scoping)","Inline arrays within a model definition that specify which metrics and dimension hierarchy levels to hide for a given audience — inverted model (hide what is NOT relevant rather than include what IS relevant).","Audience-specific perspectives reduce the semantic surface area visible to a team or agent context — a Finance agent sees only finance-relevant metrics; hidden items are invisible to both humans and agents without needing separate model files.","High — perspectives simplify field picker and report authoring for different business teams by hiding irrelevant metrics","High — agents operating in a perspective context reason over a smaller more relevant model; fewer irrelevant fields reduces misselection and improves query accuracy","Not supported","Con: All SV dimensions/metrics always exposed; no perspective concept.","Not supported","Con: All UC MV dimensions/measures always exposed.","Not applicable — separate semantic_model definitions per team provide similar scoping","cube.views[].cubes[].includes/excludes — closest equivalent","LookML: explores as audience-specific facades; Power BI: perspectives; Cube: views[]"
AtScale SML-Only,"SML: model.drillthroughs","Defines drillthrough query specifications within a model — specifies which metrics and detail attributes are available when a user drills through from an aggregated cell to underlying row data.","Governed drillthrough paths prevent agents and users from querying arbitrary raw columns when drilling through — ensures consistent, governed access to detail data at the row level.","High — drillthrough is a fundamental BI exploration interaction; governed paths ensure users reach the right detail columns","Medium — agents with investigative capability can use drillthrough definitions to navigate from aggregated anomalies to underlying rows","Not supported","Con: No drillthrough concept in Snowflake SV.","Not supported","Con: No drillthrough concept in UC MV.","Not applicable — dbt does not define drillthrough paths","cube.measures[].drill_members[] — fields to expose on drill-down","LookML: measure.drill_fields — closest equivalent; ThoughtSpot: drill anywhere is automatic without declaration"
AtScale SML-Only,"SML: model.aggregates (user-defined aggregate tables)","Named pre-aggregated summary tables registered within a model — specifies which metrics and grouping attributes to summarize; AtScale automatically routes compatible queries to the most appropriate aggregate; supports in-memory caching via engine-memory option.","Transparent query acceleration via aggregate awareness — agents and users always query the semantic interface but compatible queries automatically hit pre-aggregated tables for sub-second performance.","High — transparent query routing to pre-aggregated tables means users get fast results without changing their queries or knowing which table was used","Low — agents benefit from faster responses but do not interact with aggregate definitions directly","Not directly supported","Con: No semantic-layer-level aggregate routing in Snowflake SV; uses materialized views externally.","materialization: (Experimental v1.1)","Con: Experimental; less feature-rich than AtScale aggregate awareness (no partial match routing).","saved_queries[].exports[] materialize metric output; no in-model routing","cube.pre_aggregations[] — most comparable aggregate awareness implementation","LookML: aggregate_table in explores (closest equivalent); ThoughtSpot: aggregated_models"
AtScale SML-Only,"SML: composite_model object","Combines multiple models that share at least one common dimension into a single queryable semantic entity — enables cross-model metrics (metric_calc spanning multiple models) and cross-model user-defined aggregates.","Enables governed multi-fact analysis from a single semantic interface — agents can query measures from the Sales model and the Inventory model simultaneously without knowing the underlying join logic or data sources.","High — multi-fact models enable the cross-functional analysis (e.g. revenue + inventory) that executives most frequently request","High — composite models present a unified semantic surface to agents; without this construct agents must issue separate queries to different models and join results themselves","Not supported","Con: Snowflake SV is a single-model artifact; cross-table metrics are supported via view-level derived metrics but not as a composite of separate models.","Not supported","Con: UC MV is a single-model artifact; multi-model composition requires separate views or a warehouse-layer join view.","Not applicable — dbt MetricFlow joins across semantic models via entity graph","Not applicable — Cube manages cross-cube queries via views[] composing multiple cubes","ThoughtSpot: multi-fact models via model_tables[] with multiple fact tables; LookML: multi-explore patterns"
AtScale SML-Only,"SML: row_security object","Standalone row-level security definition using a lookup dataset that maps users/groups to permitted attribute values — scope controls which tables are filtered (related / fact / fact-only / all); secure_totals applies security to MDX subtotals; use_filter_key toggles between lookup-then-constrain and direct join approaches.","Declarative row-level security at the semantic layer enforces data scoping for all consumers (BI tools, API, MDX clients, agents) from a single governed definition — agents operating under user identities automatically see correctly scoped data.","Low — security is transparent to users; they see only permitted rows without knowing about RLS","High — semantic-layer-level RLS ensures agents operating under user identities never access out-of-scope rows; the most important governance property for multi-tenant agent deployments","Not supported in SV YAML","Con: Snowflake row access policies provide RLS at the warehouse level; cannot be defined inside the semantic view.","Not supported in UC MV YAML","Con: UC row filters are UC catalog-level policies not embedded in the metric view.","Not applicable — dbt Semantic Layer access controlled by API credentials","cube.access_policy[].row_level with userAttributes","LookML: access_filter with user_attribute; Power BI: RLS with DAX filter expressions; ThoughtSpot: RLS defined separately in platform settings"
Supplementary AI Artifact,"Snowflake: semantic_model.yaml (legacy Cortex Analyst format)","The predecessor to CREATE SEMANTIC VIEW — a pure YAML file stored in a Snowflake stage that served as the complete AI context document for Cortex Analyst; notable for having default_aggregation on measures (tells AI the default agg to use before the user specifies one) and a filters[] section with named reusable WHERE predicates.","The legacy semantic_model.yaml was purpose-built as an AI artifact — every property was designed for LLM consumption rather than traditional BI; understanding its additional properties (default_aggregation, using_relationships) reveals what was lost in the transition to CREATE SEMANTIC VIEW.","N/A — this is a supplementary AI artifact format not a BI user interface element","High — default_aggregation and filters[] as named reusable predicates directly improve Cortex Analyst query accuracy","Legacy YAML (semantic_model.yaml stored in Snowflake stage)","Pro: Purpose-built for LLM consumption; all properties are AI-facing. Con: Being superseded by CREATE SEMANTIC VIEW DDL. Con: stored in stage — not a first-class DB object.","Not applicable","N/A","Not applicable","Not applicable","Power BI: LSDL AI Instructions (conceptually similar — separate AI artifact alongside core model)"
Supplementary AI Artifact,"Snowflake: legacy filters[] (named reusable WHERE predicates in AI context)","Named filter predicates in the legacy semantic_model.yaml — each has name / synonyms / description / expr; Cortex Analyst can reference these named filters by name or description when resolving query intent rather than generating raw WHERE clauses.","Reusable named filters let the AI resolve phrases like 'completed orders' or 'enterprise customers' to validated, governed SQL predicates rather than hallucinating filter conditions — the most effective way to prevent invalid filter generation.","N/A — supplementary AI artifact","High — named filters with synonyms dramatically reduce the rate at which Cortex Analyst generates incorrect or invalid filter values","Legacy semantic_model.yaml filters[] section","Con: Legacy format; partially superseded by Snowflake SV table-level filters[] (which serve the same purpose). Pro: Synonyms on filters extend the NL vocabulary beyond field synonyms.","Not supported","N/A","metrics[].filter with Jinja conditions — closest dbt equivalent (per-metric not reusable)","cube.segments[] — named reusable filter predicates (closest Cube equivalent)","LookML: named filter fields (dimension type: filter); ThoughtSpot: model-level filters (no synonyms)"
Supplementary AI Artifact,"Snowflake: default_aggregation on measures (legacy AI context property)","Property in the legacy semantic_model.yaml that tells Cortex Analyst which aggregation to apply to a fact/measure when the user's query does not specify one — e.g. SUM / AVG / COUNT.","Without default_aggregation an AI must guess the correct aggregation; a wrong default (AVG instead of SUM for revenue) produces silently incorrect results on every query that does not explicitly specify the aggregation.","N/A — supplementary AI artifact","High — default aggregation is one of the highest-impact properties for agent correctness; an incorrect default produces wrong answers silently","Legacy semantic_model.yaml measures[].default_aggregation","Con: Legacy format property — not available in CREATE SEMANTIC VIEW YAML or DDL. The metrics[].expr in SV embeds the aggregation directly in SQL instead.","Not supported (UC MV embeds aggregation in measures[].expr)","Con: Same — aggregation is embedded in SQL expression; no separate default_aggregation field.","measure.agg defines the canonical aggregation (explicit and required)","cube.measures[].type defines the aggregation (explicit and required)","ThoughtSpot: properties.aggregation on each column; all modern platforms embed agg in the expression"
Supplementary AI Artifact,"Snowflake: using_relationships (multi-path join disambiguation for AI)","Property on metrics in the legacy Cortex Analyst format that forces the AI to use a specific named relationship when multiple valid join paths exist between the same tables — prevents the AI from choosing an incorrect path.","In multi-path schemas (e.g. fact connected to a date dimension via both order_date and ship_date foreign keys) the AI may choose the wrong relationship; using_relationships pins the metric to the correct path.","N/A — supplementary AI artifact","High — multi-path join ambiguity is a common source of incorrect agent query results; explicit disambiguation eliminates this class of error","USING ( relationship_name ) clause on metrics (DDL)","Pro: using_relationships concept is preserved in the new DDL format. Con: YAML equivalent not documented as of early 2026.","Not supported","Con: UC MV has no join-path disambiguation hint for metrics.","Not applicable — MetricFlow entity graph prevents multi-path ambiguity by construction","Not applicable — Cube joins are always explicit in the schema","LookML: always_join on explores forces specific joins; AtScale SML: relationships resolve via the model definition"
Supplementary AI Artifact,"Snowflake: Verified Query Repository","A separately managed store of verified Q&A pairs (question / SQL / verified_at / verified_by / use_as_onboarding_question) that Cortex Analyst uses for few-shot grounding — can be embedded in the SV DDL or managed via a dedicated API; accumulated verified queries can auto-optimize the semantic view definition (Dec 2025 preview).","Verified examples are the most effective mechanism for improving agent accuracy on common business questions; a corpus of 30–50 verified queries can raise accuracy by 30%+ on similar questions; auto-optimization extracts filters and attributes from accumulated verified SQL to enrich the model.","High — onboarding questions surface as clickable suggested prompts in the Cortex Analyst UI; directly guides human exploration on first use","High — verified Q&A pairs serve as in-context few-shot examples for Cortex Analyst; the highest ROI investment for improving agent accuracy on known common questions","Native (AI_VERIFIED_QUERIES in DDL / verified_queries[] in YAML / Verified Query Repository API)","Pro: Three management paths — inline DDL, YAML section, or external API. Pro: Dec 2025 optimization auto-enriches model from accumulated queries. Con: Verified SQL must reference logical names not physical columns.","Not supported","Con: No equivalent concept in UC MV; Genie learns from user feedback separately but verified queries are not embedded in the metric view definition.","saved_queries[] — closest dbt equivalent (pre-defined queries not Q&A pairs)","Not supported natively","Power BI: Verified Answers in LSDL (closest equivalent — trigger phrases + visual binding); LookML: Golden Queries via Conversational Analytics API"
Supplementary AI Artifact,"dbt: semantic_manifest.json","Machine-readable JSON artifact generated at dbt compile time (target/semantic_manifest.json) containing the complete semantic layer definition — semantic_models, metrics, saved_queries, and project_configuration — consumed by the dbt MCP server, MetricFlow, and downstream tool integrations.","The semantic_manifest is the authoritative runtime AI context document for the dbt ecosystem — every AI integration reads it rather than the raw YAML files; it is what makes the semantic layer portable across MCP clients, BI tools, and agent frameworks.","N/A — generated artifact not authored directly","High — all dbt AI integrations (MCP server, dbt Copilot, BI tool connectors) consume the manifest; its completeness directly determines agent accuracy","Not directly applicable (Snowflake SV is a DB object not a file artifact)","Con: Snowflake SV metadata is queried via SHOW SEMANTIC VIEWS and DDL introspection — no portable manifest file.","Not directly applicable (UC MV is a DB object not a file artifact)","Con: UC MV metadata is queried via SHOW CREATE TABLE — no portable manifest file.","Native — generated by dbt compile for every project","Not applicable — Cube exposes metadata via /meta REST endpoint not a compiled file","ThoughtSpot: TML files are the closest equivalent (exportable YAML representation of the semantic model)"
Supplementary AI Artifact,"Power BI/Fabric: AI Data Schema (LSDL)","A filtered subset of the semantic model defined in LSDL (Logical Semantic Definition Language) — separate from the core TMDL model definition — that specifies which tables, columns, and measures are included in or excluded from Copilot and data agent queries; reduces AI reasoning surface area and improves accuracy.","Scoping the AI context to the most relevant subset of a large enterprise model is the single most effective technique for improving Copilot accuracy; a Finance AI schema that hides HR and Operations tables prevents field confusion and irrelevant query generation.","Medium — AI Data Schema is a developer-configured artifact; users experience the effect as more accurate Copilot responses","High — a well-scoped AI Data Schema is the highest-ROI investment for improving Copilot and data agent query accuracy in large Power BI models","Not directly equivalent","Con: Snowflake SV access_modifier: private on facts/metrics provides similar scoping at the field level. No model-level inclusion/exclusion schema concept.","Not directly equivalent","Con: UC MV exposes all dimensions/measures; no AI-specific schema scoping artifact.","Not applicable — MetricFlow exposes all defined metrics to all consumers","cube.views[].cubes[].includes/excludes — closest equivalent for consumer-facing scope reduction","ThoughtSpot: is_hidden on columns reduces the surface area; LookML: explore.fields whitelist/blacklist"
Supplementary AI Artifact,"Power BI/Fabric: AI Instructions (LSDL freeform NL text)","Freeform natural language text stored in LSDL alongside the semantic model — provides business logic, terminology definitions, routing rules, and analysis defaults to Copilot; examples include disambiguation rules ('for profitability use Contribution_Margin not Gross_Profit'), business calendar definitions, and default filter preferences.","AI Instructions are the LSDL equivalent of ThoughtSpot's Data Model Instructions — global NL directives that shape agent behavior without changing the semantic model schema; enables nuanced business context that cannot be expressed as structured properties.","Low — invisible to users; experienced as more accurate Copilot responses","High — well-authored AI Instructions can prevent the most common class of semantic confusion in agent queries; most impactful free-text AI context mechanism in Power BI","AI_SQL_GENERATION clause in CREATE SEMANTIC VIEW DDL (closest Snowflake equivalent)","Pro: Snowflake's AI_SQL_GENERATION is semantically equivalent — free-text injected into the Cortex Analyst generation prompt. Con: DDL-only; no YAML equivalent. Con: Single field not a rich instruction document.","Not supported","Con: UC MV has no equivalent AI instruction artifact; descriptions and comments are passive context.","Not applicable","Not applicable","ThoughtSpot: Data Model Instructions (closest equivalent); LookML: Conversational Analytics system instructions (API-level, not LSDL)"
Supplementary AI Artifact,"Power BI/Fabric: Verified Answers (LSDL)","Binding between natural language trigger phrases (up to 15 per answer) and a specific Power BI visual (with column, measure, and filter configuration) stored in LSDL; up to 250 verified answers per model; when Copilot semantically matches a trigger phrase the visual's structure guides DAX generation rather than free-form inference.","The most structured form of verified Q&A pair across all platforms — not just a question+SQL pair but a question bound to a specific governed visual configuration; ensures agents produce the exact intended visualization for known common questions.","High — verified answers surface in the Copilot UI as suggested prompts and produce consistent governed responses to common questions","High — verified answers eliminate hallucination risk for the most frequently asked questions; agents produce the governed answer instead of generating a potentially incorrect free-form response","AI_VERIFIED_QUERIES (closest Snowflake equivalent)","Con: Snowflake verified queries bind question to SQL not to a visual specification. Pro: SQL-level verification is more portable across consumers.","Not supported","Con: No equivalent in UC MV.","saved_queries[] — closest dbt equivalent (pre-defined queries not trigger-phrase bound)","Not supported natively","Snowflake: AI_VERIFIED_QUERIES (SQL-level); LookML: Golden Queries (API-level Looker URL); ThoughtSpot: no verified answer concept yet"
Supplementary AI Artifact,"ThoughtSpot: Data Model Instructions (global NL directives)","Global natural language directives stored within the ThoughtSpot model (accessible via the Instructions tab in the Data workspace) that apply to all Spotter queries on the model — define default date filter behavior, column preference disambiguation, conditional filtering rules, and automatic detail column inclusion; distinct from per-column ai_context.","Model-level NL instructions shape Spotter's global query generation behavior without changing any column definition — they are the highest-level AI context mechanism in ThoughtSpot, allowing model owners to encode business rules that apply across every user interaction.","Low — invisible to users; experienced as more intelligent Spotter responses","High — global instructions prevent the most common class of systematic Spotter errors (wrong date default, wrong column selection for ambiguous terms); more impactful per-instruction than per-column ai_context","AI_SQL_GENERATION clause (closest Snowflake equivalent — view-level generation hint)","Con: Snowflake AI_SQL_GENERATION is a single free-text field not a rich multi-rule instruction document.","Not supported","Con: UC MV has no equivalent; column comments are passive not directive.","Not applicable — dbt Copilot context is implicit from descriptions","Not applicable","Power BI: AI Instructions in LSDL (closest equivalent — structured freeform NL instruction document); LookML: Agent system instructions via Conversational Analytics API"
Supplementary AI Artifact,"Looker: Golden Queries (Conversational Analytics API)","Verified NL→Explore-query pairs provided via the Looker Conversational Analytics API (not stored in LookML files) — each has natural_language_questions (array of phrasings) and a looker_query (model, explore, fields, filters, limit); recommended 30–50 pairs; distinct from LookML explore.query blocks which appear in the UI.","Few-shot grounding of Looker's Gemini-powered Conversational Analytics engine; verified examples that the AI uses to resolve ambiguous questions to specific field selections — most effective for questions where multiple plausible field combinations exist.","Medium — golden queries may surface as suggested starter questions; primarily a developer-configured accuracy enhancement","High — golden query pairs improve Conversational Analytics accuracy on known common questions; the 30–50 pair recommendation reflects the practical sweet spot for few-shot grounding without context bloat","AI_VERIFIED_QUERIES (closest Snowflake equivalent — also Q&A pairs with verified metadata)","Pro: Snowflake verified queries include verified_at timestamp, verified_by contact, and onboarding_question flag — more governance metadata than Looker's golden queries.","Not supported","N/A","saved_queries[] — pre-defined queries (not NL→query pairs)","Not supported natively","Power BI: Verified Answers in LSDL (most structured equivalent); ThoughtSpot: no equivalent yet; Snowflake: AI_VERIFIED_QUERIES"
Supplementary AI Artifact,"Looker: Agent system instructions (Conversational Analytics API)","YAML-formatted context document provided via the Looker Conversational Analytics API (published_context or inline_context) — includes system_instruction (NL persona/role), glossaries (term / definition / synonyms) and additional_descriptions (free-text domain rules); not stored in LookML files.","Model-level NL instructions that customize the Gemini agent's identity, vocabulary, and query behavior without changing the LookML schema — glossary terms extend the NL vocabulary with official definitions; additional_descriptions encode business rules like default date ranges and column preference.","Low — invisible to users; experienced as a more contextually aware and accurate Conversational Analytics agent","High — system instructions are the highest-ROI AI context investment for Looker; a well-authored instruction document with glossary terms can dramatically improve NL query accuracy on domain-specific questions","AI_SQL_GENERATION + AI_QUESTION_CATEGORIZATION (closest Snowflake equivalent)","Pro: Snowflake has two separate AI instruction clauses in the DDL for SQL generation and question categorization. Con: Less structured than Looker's glossary format.","Not supported","N/A","Not applicable","Not applicable","Power BI: AI Instructions in LSDL (most similar in structure — freeform NL text); ThoughtSpot: Data Model Instructions; AtScale SML: no equivalent"
Supplementary AI Artifact,"Cube.dev: meta.ai.searchable (value-level RAG indexing)","Setting meta: ai: searchable: true on a string dimension causes the Cube AI API to vector-index that dimension's data values — enabling semantic fuzzy matching of natural language filter values to actual database values (e.g. 'Apple phones' → 'iPhone 15 Pro Max').","Prevents the most common literal filter failure in agent queries — users say 'Apple products' but the filter value must be exactly 'Apple Inc.'; value-level semantic search eliminates this class of query failure without manual synonym enumeration.","Low — invisible to users; experienced as more accurate filter suggestions","High — value-level semantic search is one of the most effective mechanisms for improving agent filter accuracy on high-cardinality string dimensions; critical for product, customer, and category filtering","cortex_search_service on dimensions (closest Snowflake equivalent)","Pro: Snowflake cortex_search_service links a dimension to an entire Cortex Search index — more powerful than a single searchable flag. Pro: Fuzzy matching at the Snowflake engine level.","Not supported","Con: UC MV has no value-level semantic search integration; filter values must be exact matches.","Not applicable — dbt relies on exact filter values","Native (cube.meta.ai.searchable: true — Cube.dev)","Snowflake: cortex_search_service (most similar and more powerful); ThoughtSpot: index_type and ThoughtSpot's search engine provide value-level search"
Supplementary AI Artifact,"MCP (Model Context Protocol) — cross-platform transport standard","JSON-RPC 2.0 protocol (Anthropic, Nov 2024; donated to Linux Foundation Dec 2025; adopted by OpenAI and Google DeepMind) defining how AI agents discover and invoke tools from any service; all major semantic layer vendors now have or are building MCP servers that expose their semantic layer capabilities as structured tools.","MCP is the emerging de facto standard for how semantic layers expose themselves to AI agents — not a content format but a transport/API convention; a semantic model with an MCP server is immediately accessible to any MCP-compatible agent (Claude, GPT-4o, Gemini, etc.) without custom integration work.","N/A — infrastructure transport protocol; not a semantic model property","High — MCP servers are the primary mechanism through which AI agents will query semantic layers in 2025–2026; every platform's MCP server is the most important integration surface for agentic use","Snowflake Intelligence / Cortex Analyst — MCP-accessible","Pro: Snowflake Cortex Analyst exposed via Snowflake Intelligence as an MCP tool. Con: Proprietary endpoint not an open MCP server package.","Databricks Mosaic AI Tool (Genie exposed via Unity Catalog MCP)","Pro: Genie accessible via Databricks Agent Bricks and MCP marketplace. Con: Databricks-specific ecosystem.","dbt MCP server (remote — GA at Coalesce 2025; local via uvx dbt-mcp)","Cube AI API (REST / GraphQL / SQL wire protocol — MCP integration available)","ThoughtSpot: MCP server (announced Mar 2026); Looker: MCP Toolbox (Jul 2025); AtScale: MCP server (public preview); Power BI: Modeling MCP server (Nov 2025 preview)"
